+-----+-------------------------------------------------------+-------------------+---------------+----------------+------------+------------+----------+----------+----------+------------+---------+----------+------------+
|     | Name                                                  | Shape             |   NNZ (dense) |   NNZ (sparse) |   Cols (%) |   Rows (%) |   Ch (%) |   2D (%) |   3D (%) |   Fine (%) |     Std |     Mean |   Abs-Mean |
|-----+-------------------------------------------------------+-------------------+---------------+----------------+------------+------------+----------+----------+----------+------------+---------+----------+------------|
|   0 | module.features.conv0.weight                          | (64, 3, 3, 3)     |          1728 |           1728 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.02617 | -0.00039 |    0.01634 |
|   1 | module.features.denseblock1.denselayer1.conv1.weight  | (128, 64, 1, 1)   |          8192 |           8192 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00573 | -0.00051 |    0.00286 |
|   2 | module.features.denseblock1.denselayer1.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00364 | -0.00015 |    0.00251 |
|   3 | module.features.denseblock1.denselayer2.conv1.weight  | (128, 96, 1, 1)   |         12288 |          12288 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00309 | -0.00011 |    0.00117 |
|   4 | module.features.denseblock1.denselayer2.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00244 | -0.00019 |    0.00139 |
|   5 | module.features.denseblock1.denselayer3.conv1.weight  | (128, 128, 1, 1)  |         16384 |          16384 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00356 | -0.00020 |    0.00158 |
|   6 | module.features.denseblock1.denselayer3.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00338 | -0.00023 |    0.00230 |
|   7 | module.features.denseblock1.denselayer4.conv1.weight  | (128, 160, 1, 1)  |         20480 |          20480 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00383 | -0.00020 |    0.00206 |
|   8 | module.features.denseblock1.denselayer4.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00333 | -0.00012 |    0.00229 |
|   9 | module.features.denseblock1.denselayer5.conv1.weight  | (128, 192, 1, 1)  |         24576 |          24576 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00342 | -0.00016 |    0.00172 |
|  10 | module.features.denseblock1.denselayer5.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00337 | -0.00022 |    0.00234 |
|  11 | module.features.denseblock1.denselayer6.conv1.weight  | (128, 224, 1, 1)  |         28672 |          28672 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00324 | -0.00006 |    0.00162 |
|  12 | module.features.denseblock1.denselayer6.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00311 | -0.00013 |    0.00206 |
|  13 | module.features.transition1.conv.weight               | (128, 256, 1, 1)  |         32768 |          32768 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00707 | -0.00020 |    0.00488 |
|  14 | module.features.denseblock2.denselayer1.conv1.weight  | (128, 128, 1, 1)  |         16384 |          16384 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00212 | -0.00018 |    0.00082 |
|  15 | module.features.denseblock2.denselayer1.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00226 | -0.00007 |    0.00140 |
|  16 | module.features.denseblock2.denselayer2.conv1.weight  | (128, 160, 1, 1)  |         20480 |          20480 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00227 | -0.00001 |    0.00101 |
|  17 | module.features.denseblock2.denselayer2.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00245 | -0.00003 |    0.00152 |
|  18 | module.features.denseblock2.denselayer3.conv1.weight  | (128, 192, 1, 1)  |         24576 |          24576 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00254 | -0.00003 |    0.00129 |
|  19 | module.features.denseblock2.denselayer3.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00261 | -0.00011 |    0.00170 |
|  20 | module.features.denseblock2.denselayer4.conv1.weight  | (128, 224, 1, 1)  |         28672 |          28672 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00264 | -0.00008 |    0.00138 |
|  21 | module.features.denseblock2.denselayer4.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00281 | -0.00005 |    0.00182 |
|  22 | module.features.denseblock2.denselayer5.conv1.weight  | (128, 256, 1, 1)  |         32768 |          32768 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00258 | -0.00005 |    0.00129 |
|  23 | module.features.denseblock2.denselayer5.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00280 | -0.00012 |    0.00173 |
|  24 | module.features.denseblock2.denselayer6.conv1.weight  | (128, 288, 1, 1)  |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00280 | -0.00004 |    0.00139 |
|  25 | module.features.denseblock2.denselayer6.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00301 | -0.00012 |    0.00182 |
|  26 | module.features.denseblock2.denselayer7.conv1.weight  | (128, 320, 1, 1)  |         40960 |          40960 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00291 | -0.00005 |    0.00153 |
|  27 | module.features.denseblock2.denselayer7.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00315 | -0.00013 |    0.00198 |
