parameter,sparsity,top1,top5,loss,variance
module.conv1.weight,0.0,92.12,99.74,0.27726040743291386,0.02653488703072071
module.conv1.weight,0.05,92.12,99.74,0.27115473523736,0.02653488703072071
module.conv1.weight,0.1,92.12,99.74,0.281332578510046,0.02653488703072071
module.conv1.weight,0.15000000000000002,92.11,99.74,0.27880033291876316,0.02653488703072071
module.conv1.weight,0.2,92.11,99.74,0.2725873958319427,0.02653488703072071
module.conv1.weight,0.25,92.12,99.74,0.2763473231345416,0.02653488703072071
module.conv1.weight,0.30000000000000004,91.99,99.74,0.2731512241065503,0.02653488703072071
module.conv1.weight,0.35000000000000003,92.06,99.72999999999999,0.27507256343960773,0.02653488703072071
module.conv1.weight,0.4,91.78999999999999,99.72999999999999,0.27898376248776907,0.02653488703072071
module.conv1.weight,0.45,91.7,99.72,0.289548148959875,0.02653488703072071
module.conv1.weight,0.5,91.51,99.67,0.3205128319561481,0.02653488703072071
module.conv1.weight,0.55,90.96,99.55000000000001,0.32121737115085114,0.02653488703072071
module.conv1.weight,0.6000000000000001,89.02,99.49,0.3834502629935742,0.02653488703072071
module.conv1.weight,0.65,85.53,98.99,0.501798276603222,0.02653488703072071
module.conv1.weight,0.7000000000000001,79.25999999999999,97.13000000000001,0.7284199371933938,0.02653488703072071
module.conv1.weight,0.75,68.43,93.37,1.1178596645593641,0.02653488703072071
module.conv1.weight,0.8,57.49999999999999,89.32,1.576459482312202,0.02653488703072071
module.conv1.weight,0.8500000000000001,53.269999999999996,88.75,1.706834164261818,0.02653488703072071
module.conv1.weight,0.9,37.980000000000004,78.27,2.346630024909973,0.02653488703072071
module.layer1.0.conv1.weight,0.0,92.12,99.74,0.2753482144325971,0.007337890099734068
module.layer1.0.conv1.weight,0.05,92.12,99.74,0.277250612899661,0.007337890099734068
module.layer1.0.conv1.weight,0.1,92.12,99.74,0.2761300951242447,0.007337890099734068
module.layer1.0.conv1.weight,0.15000000000000002,92.12,99.74,0.2708166625350713,0.007337890099734068
module.layer1.0.conv1.weight,0.2,92.12,99.74,0.28269557058811184,0.007337890099734068
module.layer1.0.conv1.weight,0.25,92.11,99.74,0.2802125219255686,0.007337890099734068
module.layer1.0.conv1.weight,0.30000000000000004,92.09,99.74,0.2785718601197004,0.007337890099734068
module.layer1.0.conv1.weight,0.35000000000000003,92.08,99.74,0.2797539614140987,0.007337890099734068
module.layer1.0.conv1.weight,0.4,92.05,99.74,0.27636989876627915,0.007337890099734068
module.layer1.0.conv1.weight,0.45,91.96,99.75,0.27201604545116426,0.007337890099734068
module.layer1.0.conv1.weight,0.5,91.92,99.75,0.2734092380851507,0.007337890099734068
module.layer1.0.conv1.weight,0.55,91.92,99.74,0.2780197668820619,0.007337890099734068
module.layer1.0.conv1.weight,0.6000000000000001,91.83,99.72999999999999,0.28037709034979347,0.007337890099734068
module.layer1.0.conv1.weight,0.65,91.81,99.71,0.287897514179349,0.007337890099734068
module.layer1.0.conv1.weight,0.7000000000000001,91.75,99.72999999999999,0.28185397908091553,0.007337890099734068
module.layer1.0.conv1.weight,0.75,91.67,99.72999999999999,0.301828594878316,0.007337890099734068
module.layer1.0.conv1.weight,0.8,91.55,99.71,0.2970568448305129,0.007337890099734068
module.layer1.0.conv1.weight,0.8500000000000001,90.83,99.58,0.32086782753467563,0.007337890099734068
module.layer1.0.conv1.weight,0.9,89.97,99.51,0.3410101648420095,0.007337890099734068
module.layer1.0.conv2.weight,0.0,92.12,99.74,0.27219943404197705,0.003384980605915189
module.layer1.0.conv2.weight,0.05,92.12,99.74,0.2730414532124997,0.003384980605915189
module.layer1.0.conv2.weight,0.1,92.12,99.75,0.2843347188085318,0.003384980605915189
module.layer1.0.conv2.weight,0.15000000000000002,92.13,99.75,0.27154037319123736,0.003384980605915189
module.layer1.0.conv2.weight,0.2,92.10000000000001,99.74,0.27058776915073396,0.003384980605915189
module.layer1.0.conv2.weight,0.25,92.10000000000001,99.74,0.2789713241159917,0.003384980605915189
module.layer1.0.conv2.weight,0.30000000000000004,92.09,99.74,0.28111958354711536,0.003384980605915189
module.layer1.0.conv2.weight,0.35000000000000003,92.06,99.74,0.275976387411356,0.003384980605915189
module.layer1.0.conv2.weight,0.4,91.97,99.74,0.2716059803962708,0.003384980605915189
module.layer1.0.conv2.weight,0.45,92.04,99.74,0.28494249507784847,0.003384980605915189
module.layer1.0.conv2.weight,0.5,92.06,99.74,0.2731941547244788,0.003384980605915189
module.layer1.0.conv2.weight,0.55,92.07,99.72999999999999,0.2735160823911428,0.003384980605915189
module.layer1.0.conv2.weight,0.6000000000000001,92.02,99.72999999999999,0.2758458103984595,0.003384980605915189
module.layer1.0.conv2.weight,0.65,91.93,99.72,0.2738793589174748,0.003384980605915189
module.layer1.0.conv2.weight,0.7000000000000001,91.93,99.72,0.28893412239849575,0.003384980605915189
module.layer1.0.conv2.weight,0.75,91.95,99.71,0.28550613000988967,0.003384980605915189
module.layer1.0.conv2.weight,0.8,91.86,99.71,0.2814484626054764,0.003384980605915189
module.layer1.0.conv2.weight,0.8500000000000001,91.48,99.72,0.2872152253985405,0.003384980605915189
module.layer1.0.conv2.weight,0.9,90.81,99.68,0.3319047085940837,0.003384980605915189
module.layer1.0.conv3.weight,0.0,92.12,99.74,0.2776682358235121,0.004137189593166113
module.layer1.0.conv3.weight,0.05,92.12,99.74,0.2721596024930477,0.004137189593166113
module.layer1.0.conv3.weight,0.1,92.12,99.74,0.277996477857232,0.004137189593166113
module.layer1.0.conv3.weight,0.15000000000000002,92.12,99.74,0.27727676518261435,0.004137189593166113
module.layer1.0.conv3.weight,0.2,92.12,99.74,0.2854045454412698,0.004137189593166113
module.layer1.0.conv3.weight,0.25,92.12,99.74,0.2847488973289728,0.004137189593166113
module.layer1.0.conv3.weight,0.30000000000000004,92.12,99.74,0.27184546105563645,0.004137189593166113
module.layer1.0.conv3.weight,0.35000000000000003,92.12,99.74,0.272060927376151,0.004137189593166113
module.layer1.0.conv3.weight,0.4,92.13,99.74,0.288093113899231,0.004137189593166113
module.layer1.0.conv3.weight,0.45,92.13,99.74,0.2709122933447361,0.004137189593166113
module.layer1.0.conv3.weight,0.5,92.13,99.74,0.2764272008091212,0.004137189593166113
module.layer1.0.conv3.weight,0.55,92.13,99.74,0.2733008932322264,0.004137189593166113
module.layer1.0.conv3.weight,0.6000000000000001,92.08,99.74,0.2712853491306306,0.004137189593166113
