parameter,sparsity,top1,top5,loss,variance
module.conv1.weight,0.0,76.13,92.862,0.9615981846439596,0.12321819365024567
module.conv1.weight,0.05,76.134,92.866,0.9609893691174842,0.12321819365024567
module.conv1.weight,0.1,76.088,92.868,0.9610476755366036,0.12321819365024567
module.conv1.weight,0.15000000000000002,76.134,92.83399999999999,0.9623934964136203,0.12321819365024567
module.conv1.weight,0.2,76.12,92.84400000000001,0.9614877262893987,0.12321819365024567
module.conv1.weight,0.25,75.906,92.792,0.9671515819369532,0.12321819365024567
module.conv1.weight,0.30000000000000004,75.968,92.794,0.9690681714184429,0.12321819365024567
module.conv1.weight,0.35000000000000003,75.59400000000001,92.598,0.9834324988175409,0.12321819365024567
module.conv1.weight,0.4,75.388,92.406,0.9999702144034052,0.12321819365024567
module.conv1.weight,0.45,74.616,92.084,1.0294983098093347,0.12321819365024567
module.conv1.weight,0.5,72.77799999999999,91.10000000000001,1.1038216568377548,0.12321819365024567
module.conv1.weight,0.55,71.104,90.07000000000001,1.1841587780081502,0.12321819365024567
module.conv1.weight,0.6000000000000001,71.636,90.544,1.1563845599184233,0.12321819365024567
module.conv1.weight,0.65,66.456,86.812,1.4286776695932661,0.12321819365024567
module.conv1.weight,0.7000000000000001,62.91,84.516,1.6046202219262409,0.12321819365024567
module.conv1.weight,0.75,59.974,82.462,1.7426334558701033,0.12321819365024567
module.conv1.weight,0.8,47.958,72.486,2.4433953360635408,0.12321819365024567
module.conv1.weight,0.8500000000000001,41.188,64.82600000000001,2.881971561178868,0.12321819365024567
module.conv1.weight,0.9,12.878,28.446000000000005,5.930574514427961,0.12321819365024567
module.layer1.0.conv1.weight,0.0,76.13,92.862,0.9618083107836393,0.07082971930503845
module.layer1.0.conv1.weight,0.05,76.13,92.862,0.9628513330707743,0.07082971930503845
module.layer1.0.conv1.weight,0.1,76.13,92.862,0.9616442702862682,0.07082971930503845
module.layer1.0.conv1.weight,0.15000000000000002,76.122,92.862,0.9622852379570204,0.07082971930503845
module.layer1.0.conv1.weight,0.2,76.086,92.862,0.9623990256567394,0.07082971930503845
module.layer1.0.conv1.weight,0.25,76.098,92.866,0.9623304541621887,0.07082971930503845
module.layer1.0.conv1.weight,0.30000000000000004,76.012,92.838,0.962094426763301,0.07082971930503845
module.layer1.0.conv1.weight,0.35000000000000003,75.92999999999999,92.848,0.9674814662763052,0.07082971930503845
module.layer1.0.conv1.weight,0.4,75.88000000000001,92.762,0.9701695445240761,0.07082971930503845
module.layer1.0.conv1.weight,0.45,75.8,92.804,0.9731400207597387,0.07082971930503845
module.layer1.0.conv1.weight,0.5,75.75,92.776,0.974233573492692,0.07082971930503845
module.layer1.0.conv1.weight,0.55,75.124,92.62599999999999,1.0024121260764642,0.07082971930503845
module.layer1.0.conv1.weight,0.6000000000000001,74.464,92.196,1.0327133381245084,0.07082971930503845
module.layer1.0.conv1.weight,0.65,73.79,91.822,1.0590352644117513,0.07082971930503845
module.layer1.0.conv1.weight,0.7000000000000001,71.774,90.558,1.1658511177009454,0.07082971930503845
module.layer1.0.conv1.weight,0.75,70.314,89.73,1.230348837618926,0.07082971930503845
module.layer1.0.conv1.weight,0.8,64.996,86.74,1.5179482546387886,0.07082971930503845
module.layer1.0.conv1.weight,0.8500000000000001,59.32999999999999,83.078,1.8311791048974397,0.07082971930503845
module.layer1.0.conv1.weight,0.9,58.23400000000001,82.028,1.8719108579110129,0.07082971930503845
module.layer1.0.conv2.weight,0.0,76.13,92.862,0.9623375966840858,0.02914915420114994
module.layer1.0.conv2.weight,0.05,76.13,92.862,0.9613504312476341,0.02914915420114994
module.layer1.0.conv2.weight,0.1,76.13,92.862,0.9628458920182011,0.02914915420114994
module.layer1.0.conv2.weight,0.15000000000000002,76.134,92.862,0.962182299519072,0.02914915420114994
module.layer1.0.conv2.weight,0.2,76.12,92.86,0.9620315651504361,0.02914915420114994
module.layer1.0.conv2.weight,0.25,76.118,92.85,0.9622487136904071,0.02914915420114994
module.layer1.0.conv2.weight,0.30000000000000004,76.112,92.864,0.9620260091460486,0.02914915420114994
module.layer1.0.conv2.weight,0.35000000000000003,76.106,92.84599999999999,0.9602086918086425,0.02914915420114994
module.layer1.0.conv2.weight,0.4,76.076,92.824,0.9626117756172103,0.02914915420114994
module.layer1.0.conv2.weight,0.45,76.054,92.84,0.9627189733544178,0.02914915420114994
module.layer1.0.conv2.weight,0.5,76.05,92.89,0.9617041866390069,0.02914915420114994
module.layer1.0.conv2.weight,0.55,76.046,92.85600000000001,0.9629851631364045,0.02914915420114994
module.layer1.0.conv2.weight,0.6000000000000001,76.05199999999999,92.866,0.9638101634930595,0.02914915420114994
module.layer1.0.conv2.weight,0.65,75.96000000000001,92.88,0.965551109946504,0.02914915420114994
module.layer1.0.conv2.weight,0.7000000000000001,75.93799999999999,92.828,0.967950514080573,0.02914915420114994
module.layer1.0.conv2.weight,0.75,75.69200000000001,92.754,0.974362451811226,0.02914915420114994
module.layer1.0.conv2.weight,0.8,75.458,92.61399999999999,0.9827860040324072,0.02914915420114994
module.layer1.0.conv2.weight,0.8500000000000001,74.098,91.874,1.0412279233640551,0.02914915420114994
module.layer1.0.conv2.weight,0.9,73.226,91.43,1.0784347261093097,0.02914915420114994
module.layer1.0.conv3.weight,0.0,76.13,92.862,0.9622931620296167,0.03526688739657402
module.layer1.0.conv3.weight,0.05,76.13,92.862,0.9607077618034521,0.03526688739657402
module.layer1.0.conv3.weight,0.1,76.13,92.862,0.9598967536371583,0.03526688739657402
module.layer1.0.conv3.weight,0.15000000000000002,76.13,92.862,0.9623732697598784,0.03526688739657402
module.layer1.0.conv3.weight,0.2,76.128,92.864,0.9610362049876426,0.03526688739657402
module.layer1.0.conv3.weight,0.25,76.12,92.872,0.9618555328675681,0.03526688739657402
module.layer1.0.conv3.weight,0.30000000000000004,76.108,92.874,0.9616338936041812,0.03526688739657402
module.layer1.0.conv3.weight,0.35000000000000003,76.116,92.88,0.9618314972945623,0.03526688739657402
module.layer1.0.conv3.weight,0.4,76.094,92.854,0.962292200752667,0.03526688739657402
module.layer1.0.conv3.weight,0.45,76.072,92.852,0.9626861436634645,0.03526688739657402
module.layer1.0.conv3.weight,0.5,75.992,92.85,0.9625111435140882,0.03526688739657402
module.layer1.0.conv3.weight,0.55,75.996,92.83200000000001,0.9635507017374041,0.03526688739657402
module.layer1.0.conv3.weight,0.6000000000000001,76.064,92.84599999999999,0.9630199734653747,0.03526688739657402
module.layer1.0.conv3.weight,0.65,75.946,92.816,0.9660991250860449,0.03526688739657402
module.layer1.0.conv3.weight,0.7000000000000001,75.896,92.73599999999999,0.9674866892853556,0.03526688739657402
module.layer1.0.conv3.weight,0.75,75.68599999999999,92.688,0.9754957118812873,0.03526688739657402
module.layer1.0.conv3.weight,0.8,75.32799999999999,92.532,0.9876242608440164,0.03526688739657402
module.layer1.0.conv3.weight,0.8500000000000001,75.01400000000001,92.406,1.00371667104108,0.03526688739657402
module.layer1.0.conv3.weight,0.9,74.37,92.05,1.032570723976407,0.03526688739657402
module.layer1.0.downsample.0.weight,0.0,76.13,92.862,0.9629186765880007,0.057504091411828995
module.layer1.0.downsample.0.weight,0.05,76.13,92.862,0.963373122774825,0.057504091411828995
module.layer1.0.downsample.0.weight,0.1,76.13,92.862,0.9634280460221423,0.057504091411828995
module.layer1.0.downsample.0.weight,0.15000000000000002,76.142,92.85799999999999,0.9611513991745149,0.057504091411828995
module.layer1.0.downsample.0.weight,0.2,76.128,92.872,0.9610213570448815,0.057504091411828995
module.layer1.0.downsample.0.weight,0.25,76.134,92.85600000000001,0.961580349170432,0.057504091411828995
module.layer1.0.downsample.0.weight,0.30000000000000004,76.104,92.914,0.9617354809021458,0.057504091411828995
module.layer1.0.downsample.0.weight,0.35000000000000003,76.088,92.91199999999999,0.9623130143296961,0.057504091411828995
module.layer1.0.downsample.0.weight,0.4,76.116,92.904,0.9632811169235072,0.057504091411828995
module.layer1.0.downsample.0.weight,0.45,76.05199999999999,92.876,0.9644981120922128,0.057504091411828995
module.layer1.0.downsample.0.weight,0.5,75.896,92.904,0.9667360384245304,0.057504091411828995
module.layer1.0.downsample.0.weight,0.55,75.778,92.85,0.9742307480500674,0.057504091411828995
module.layer1.0.downsample.0.weight,0.6000000000000001,75.39,92.718,0.9845705905130927,0.057504091411828995
module.layer1.0.downsample.0.weight,0.65,75.086,92.512,0.9974568869386407,0.057504091411828995
module.layer1.0.downsample.0.weight,0.7000000000000001,74.222,92.094,1.0368611508486218,0.057504091411828995
module.layer1.0.downsample.0.weight,0.75,73.16,91.476,1.0835354395058685,0.057504091411828995
module.layer1.0.downsample.0.weight,0.8,68.946,88.94999999999999,1.293587165827654,0.057504091411828995
module.layer1.0.downsample.0.weight,0.8500000000000001,55.29200000000001,78.99000000000001,2.038539285562478,0.057504091411828995
module.layer1.0.downsample.0.weight,0.9,22.430000000000007,41.754000000000005,4.904869223127557,0.057504091411828995
module.layer1.1.conv1.weight,0.0,76.13,92.862,0.9612089958117934,0.030624471604824066
module.layer1.1.conv1.weight,0.05,76.13,92.862,0.9631038010120391,0.030624471604824066
module.layer1.1.conv1.weight,0.1,76.13,92.862,0.9625181713882754,0.030624471604824066
module.layer1.1.conv1.weight,0.15000000000000002,76.13,92.862,0.9621161915818031,0.030624471604824066
module.layer1.1.conv1.weight,0.2,76.132,92.866,0.9616525258336747,0.030624471604824066
module.layer1.1.conv1.weight,0.25,76.13799999999999,92.866,0.9622216553104164,0.030624471604824066
module.layer1.1.conv1.weight,0.30000000000000004,76.134,92.85,0.9618179722099887,0.030624471604824066
module.layer1.1.conv1.weight,0.35000000000000003,76.13,92.862,0.9615774154663089,0.030624471604824066
module.layer1.1.conv1.weight,0.4,76.114,92.9,0.9618506449825908,0.030624471604824066
module.layer1.1.conv1.weight,0.45,76.106,92.892,0.9623027921331173,0.030624471604824066
module.layer1.1.conv1.weight,0.5,76.132,92.908,0.9619714404855453,0.030624471604824066
module.layer1.1.conv1.weight,0.55,76.076,92.914,0.9613720853717957,0.030624471604824066
module.layer1.1.conv1.weight,0.6000000000000001,76.068,92.93,0.9610780736013336,0.030624471604824066
module.layer1.1.conv1.weight,0.65,76.018,92.89,0.9635061326683784,0.030624471604824066
module.layer1.1.conv1.weight,0.7000000000000001,75.91,92.894,0.9646319534097402,0.030624471604824066
module.layer1.1.conv1.weight,0.75,75.742,92.84400000000001,0.9681062832170602,0.030624471604824066
module.layer1.1.conv1.weight,0.8,75.558,92.672,0.9783143112245872,0.030624471604824066
module.layer1.1.conv1.weight,0.8500000000000001,75.012,92.384,0.9988539042521497,0.030624471604824066
module.layer1.1.conv1.weight,0.9,74.458,92.094,1.023746569241797,0.030624471604824066
module.layer1.1.conv2.weight,0.0,76.13,92.862,0.9615944280308124,0.028810374438762665
module.layer1.1.conv2.weight,0.05,76.13,92.862,0.9617875376526188,0.028810374438762665
module.layer1.1.conv2.weight,0.1,76.132,92.862,0.9627203837949402,0.028810374438762665
module.layer1.1.conv2.weight,0.15000000000000002,76.134,92.862,0.960936259250252,0.028810374438762665
module.layer1.1.conv2.weight,0.2,76.11,92.854,0.961204374323086,0.028810374438762665
