Name,Shape,NNZ (dense),NNZ (sparse),Cols (%),Rows (%),Ch (%),2D (%),3D (%),Fine (%),Std,Mean,Abs-Mean
module.Conv2d_1a_3x3.conv.weight,"(192, 3, 3, 3)",5184,5184,0,0,0.0,0.0,0.0,0.0,0.012877359054982662,3.392748476471752e-05,0.009022259153425694
module.Mixed_5b.branch1x1.conv.weight,"(64, 192, 1, 1)",12288,12288,0,0,0.0,0.0,0.0,0.0,0.006035258062183857,0.00014461348473560065,0.003590988926589489
module.Mixed_5b.branch5x5_1.conv.weight,"(48, 192, 1, 1)",9216,9216,0,0,0.0,0.0,0.0,0.0,0.004885855596512556,0.0003762151172850281,0.002697617979720235
module.Mixed_5b.branch5x5_2.conv.weight,"(64, 48, 5, 5)",76800,76800,0,0,0.0,0.0,0.0,0.0,0.002060179365798831,-0.00017497291264589876,0.0009581366321071982
module.Mixed_5b.branch3x3dbl_1.conv.weight,"(64, 192, 1, 1)",12288,12288,0,0,0.0,0.0,0.0,0.0,0.004948228597640991,0.00015795712533872575,0.002880942076444626
module.Mixed_5b.branch3x3dbl_2.conv.weight,"(96, 64, 3, 3)",55296,55296,0,0,0.0,0.0,0.0,0.0,0.002775881439447403,-3.121799090877175e-05,0.001308846171014011
module.Mixed_5b.branch3x3dbl_3.conv.weight,"(96, 96, 3, 3)",82944,82944,0,0,0.0,0.0,0.0,0.0,0.0024654509034007788,-4.020007327198982e-05,0.0010615813080221415
module.Mixed_5b.branch_pool.conv.weight,"(32, 192, 1, 1)",6144,6144,0,0,0.0,0.0,0.0,0.0,0.0016987541457638144,-1.3654851045430405e-06,0.0006199177587404847
module.Mixed_5c.branch1x1.conv.weight,"(64, 256, 1, 1)",16384,16384,0,0,0.0,0.0,0.0,0.0,0.004881503060460091,0.00014376778563018888,0.001908975886180997
module.Mixed_5c.branch5x5_1.conv.weight,"(48, 256, 1, 1)",12288,12288,0,0,0.0,0.0,0.0,0.0,0.006400386802852154,-3.923771873814985e-05,0.0030389814637601376
module.Mixed_5c.branch5x5_2.conv.weight,"(64, 48, 5, 5)",76800,76800,0,0,0.0,0.0,0.0,0.0,0.0032898234203457832,-0.00010895301966229454,0.001941487891599536
module.Mixed_5c.branch3x3dbl_1.conv.weight,"(64, 256, 1, 1)",16384,16384,0,0,0.0,0.0,0.0,0.0,0.0051531074568629265,1.8337021174374968e-05,0.001993640325963497
module.Mixed_5c.branch3x3dbl_2.conv.weight,"(96, 64, 3, 3)",55296,55296,0,0,0.0,0.0,0.0,0.0,0.00340829836204648,-5.30637516931165e-05,0.0015360721154138446
